Candidate ID,Total Votes,Is Fraud,Description
1,3411,False,Organic Growth
2,3412,False,Organic Growth
1,3847,False,Organic Growth
2,3747,False,Organic Growth
1,4374,False,Organic Growth
2,4243,False,Organic Growth
1,7435,True,70% FRAUDULENT SPIKE INJECTED!
2,4746,False,Organic Growth
1,8209,False,Organic Growth
2,5134,False,Organic Growth
1,9032,False,Organic Growth
2,5859,False,Organic Growth
1,9991,False,Organic Growth
2,6550,False,Organic Growth
1,11135,False,Organic Growth
2,11135,True,70% FRAUDULENT SPIKE INJECTED!
1,12630,False,Organic Growth
2,12469,False,Organic Growth
1,14175,False,Organic Growth
2,13605,False,Organic Growth
1,15995,False,Organic Growth
2,15163,False,Organic Growth
1,27191,True,70% FRAUDULENT SPIKE INJECTED!
2,17038,False,Organic Growth
1,31070,False,Organic Growth
2,19412,False,Organic Growth
1,34048,False,Organic Growth
2,33000,True,70% FRAUDULENT SPIKE INJECTED!
1,37957,False,Organic Growth
2,36543,False,Organic Growth
